Title,Acronym,Source,Rank,,Primary For,
European Symposium On Research In Computer Security,ESORICS,CORE2023,A,Yes,4604,
European Transport Conference,ETC,ERA2010,B,No,1205,
European Turbulence Conference,,ERA2010,A,No,0901,
European Workshop on Advanced Mobile Robots,EuroBot,CORE2018,C,No,0910,
European Workshop on Computational Geometry,EuroCG,CORE2023,C,No,4613,
European Workshop on Learning Robots,EWLR,CORE2018,B,No,,
European Workshop on Modelling Autonomous Agents in a Multi-Agent World,MAAMAW,CORE2018,C,No,0801,
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks,ESAS,CORE2018,C,No,0803,
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,CORE2023,C,No,4605,
"European, Mediterranean and Middle Eastern Conference on Information Systems",EMCIS,CORE2018,B,No,0806,
Eurosys Conference,EuroSys,CORE2023,A,No,4606,
"Experiential Knowledge SIG conferences (Design Research Society (DRS) SIG,UK)",,ERA2010,A,No,1203,
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,CORE2023,C,No,4612,
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,CORE2023,B,Yes,4605,
Extending Database Technology,EDBT,CORE2023,A,No,4605,
Extreme Markup Languages,Extreme,CORE2018,C,No,0803,
Eye Tracking Research and Applications,ETRA,CORE2023,B,Yes,4608,4603
Far East Workshop on Future DB Systems,FEWFDB,ERA2010,C,Yes,0804,
FIE Frontiers in Education,,ERA2010,A,No,09,
Field Programmable Logic and Applications,FPL,CORE2023,TBR,No,CSE,
Financial Cryptography and Data Security Conference,FC,CORE2023,A,Yes,4604,
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements,F-and-B,CORE2018,C,No,0801,
FIRA Robot World Congress,FIRA,CORE2018,C,No,0910,
FISITA World Automotive Congress,,ERA2010,B,No,0902,
Flexible Query-Answering Systems,FQAS,CORE2023,C,No,4605,
Florida Artificial Intelligence Research Society Conference,FlAIRS,CORE2023,National: USA,Yes,4602,
Formal and Computational Cryptography,FCC,CORE2018,C,No,0804,
Formal Methods in Computer-Aided Design,FMCAD,CORE2023,B,Yes,4612,
Formal Methods in Software Engineering and Defence Systems Workshop,FMSEDS,CORE2018,C,No,0803,
Formal Methods Pacific,FMP,CORE2018,C,No,0802,
Formal Power Series and Algebraic Combinatorics,FPSAC,CORE2018,B,No,0802,
"Formal Techniques in Real-Time and Fault Tolerant Systems ",FTRTFT,CORE2018,B,No,,
Forum on Specification and Design Languages,FDL,CORE2023,C,No,4612,
Foundations of Aspect-Oriented Languages,FOAL,CORE2018,C,No,0803,
Foundations of Genetic Algorithms,FOGA,CORE2023,A,Yes,4602,
Foundations of Software Science and Computational Structures,FOSSACS,CORE2023,A,Yes,4613,
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,CORE2023,National: India,Yes,4613,
Franco-Canadian Workshop on Combinatorial Algorithms,ComAI,ERA2010,C,Yes,0802,
French Conference on Knowledge Acquisition and Machine Learning,FCKAML,ERA2010,B,Yes,0801,
French Journées de Géométrie Algorithmique,JGA,ERA2010,C,Yes,0802,
French Speaking Conference on the Extraction and Management of Knowledge,EGC,ERA2010,C,Yes,0801,
Frontiers in Education,FIE,CORE2023,C,Yes,4608,
Functional and Declarative Programming in Education,FDPE,CORE2018,C,No,0803,
Fundamental Approaches to Software Engineering,FASE,CORE2023,B,Yes,4612,
Game Developers Conference,GDC,CORE2018,C,No,0806,
Genetic and Evolutionary Computations,GECCO,CORE2023,A,Yes,4602,
Geo congress of the Geo-Institute of ASCE,,ERA2010,A,No,0905,
"Geometric Modelling and Imaging, International Conference (IEEE)",GMAI,ERA2010,B,No,1203,
Geometry Festival: An international workshop on Discrete Geometry and Rigidity,GeomFest,CORE2018,C,No,0802,
Geometry Modeling and Processing,GMP,CORE2023,C,No,4613,
GeoShanghai International Conferences,GeoShanghai,ERA2010,A,No,0905,
GeoVisualization and Information Visualization,GeoViz,CORE2018,C,No,0801,
German Conference on Artificial Intelligence,KI,ERA2010,C,Yes,0801,
German Conference on Multi-Agent system Technologies,MATES,ERA2010,B,Yes,0801,
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,CORE2023,C,Yes,4604,
GIS Planet Conference,GISPlanet,CORE2018,C,No,0806,
Global Chinese Conference on Computers in Education,GCCCE,CORE2018,C,No,0899,
Global Conference on Sustainable Product Development and Life Cycle Engineering,,ERA2010,B,No,0910,0915
Global Information Technology Management Association World Conference,GITMA,CORE2018,B,No,0806,
Globalisation and Landscape Architecture: Issues for Education and Practice,,ERA2010,,No,1201,
Grace Hopper Celebration of Women in Computing,GHC,CORE2018,C,No,0899,
Graph Drawing,GD,CORE2023,A,Yes,4613,
Graphics Interface,GI,CORE2023,B,No,4607,
Haskell Workshop,HASKELL,CORE2023,C,No,4612,
Hawaii International Conference on System Sciences,HICSS,CORE2018,A,No,0806,
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,CORE2023,Unranked,Yes,4601,
Health Informatics Conference,HIC,CORE2023,Australasian C,Yes,4601,
Healthy Buildings,HB,ERA2010,A,No,1202,
Hellenic Conference on Artificial Intelligence,SETN,ERA2010,C,Yes,0801,
Heterogeneity in Computing Workshop,HCW,CORE2023,C,No,4606,
High Performance Computing Symposium Canada,HPCS-Canada,ERA2010,C,Yes,0805,
High-Performance Grid Computing Workshop (part of IPDPS Conference),HPGrid,CORE2018,C,No,0805,
Hong Kong Institute of Value Management Conference,HKIVM,ERA2010,A,No,1202,
Human Factors and Ergonomics Conference (Human Factors and Ergonomics Society of Australia),HFESA,ERA2010,C,No,1203,
"Human Language Technologies ",HLT,CORE2018,B,No,,
Human System Interaction,HSI,CORE2023,C,No,4608,
Human-Agent Interaction,HAI,CORE2023,B,Yes,4608,
Hungarian National Conference on Agent Based Computation,HUNABC,ERA2010,C,Yes,0801,
Hydraulics in Civil Engineering,,ERA2010,C,No,0905,
Hydrology and Water Resources Symposium,,ERA2010,B,No,0905,
IADIS International Conference Applied Computing,IADIS AC,CORE2023,C,No,4601,
IASTED International conference Law and Technology,LawTech,CORE2014,C,Yes,,
IASTED International Conference on Applied Informatics,AI,CORE2014,C,Yes,,
IASTED International Conference on Applied Simulation and Modelling,ASM,CORE2014,C,Yes,,
IASTED International Conference on Artificial Intelligence and Soft Computing,ASC,CORE2014,C,Yes,,
IASTED International Conference on Biomedical Engineering,,ERA2010,A,No,0903,
"IASTED International Conference on Computers and Advanced Technology in Education ",CATE,CORE2014,C,Yes,,
IASTED International Conference on Intelligent Systems and Control,ISC,CORE2014,C,Yes,,
"IASTED International Conference on Internet, Multimedia Systems and Applications",IMSA,CORE2014,C,Yes,,
IASTED International Conference on Modelling and Simulation,MS,CORE2014,C,Yes,,
"IASTED International Conference on Modelling, Identification, and Control",MIC,CORE2014,C,Yes,,
"IASTED International Conference on Modelling, Simulation and Optimisation",ICMSO,CORE2014,C,Yes,0801,
"IASTED International Conference on Parallel and Distributed Computing and Networks ",PDCN,CORE2014,C,Yes,,
"IASTED International Conference on Parallel and Distributed Computing and Systems ",PDCS,CORE2014,C,Yes,,
IASTED International Conference on Robotics and Manufacturing,RM,CORE2014,C,Yes,,
"IASTED International Conference on Signal and Image Processing ",SIP,CORE2014,C,Yes,,
"IASTED International Conference on Software Engineering ",SE,CORE2014,C,Yes,,
"IASTED International Conference on Software Engineering and Applications ",SEA,CORE2014,C,Yes,,
"IASTED International Conference on Visualization, Imaging, and Image Processing",VIIP,CORE2014,C,Yes,,
"IASTED International Conferenceon AI, Exp Sys & Neural Networks",AEN,CORE2014,C,Yes,,
IASTED Telehealth and Assistive Technology,,ERA2010,A,No,0903,
IAVoSS Workshop On Trustworthy Elections,WOTE,CORE2018,C,No,0802,
Iberian Conference on Information Systems and Technologies,CISTI,CORE2018,Regional,Yes,0806,
Iberian Conference on Pattern Recognition and Image Analysis,IBPRIA,ERA2010,C,Yes,0801,
IberoAmerican Congress on Pattern Recognition,CIARP,CORE2023,C,Yes,4603,
ICEE- ICEER - International Conference for Engineering Education and Research,,ERA2010,C,No,09,
"ICT in Education, Research, and Industrial Applications",ICTERI,CORE2023,National: Ukraine,Yes,4601,
Identity and Globalisation: Design for the City,,ERA2010,,No,1201,
IDF Congress,IDFC,CORE2018,C,No,,
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,CORE2023,C,No,4602,
IEEE Bioinformatics and Bioengineering,BIBE,CORE2023,C,No,4601,
IEEE Computational Systems Bioinformatics Conference,CSB,CORE2018,A,No,0803,
IEEE Computer Communications Workshop,CCW,CORE2018,B,No,1005,
IEEE Computer Security Foundations Symposium (was CSFW),CSF,CORE2023,A,Yes,4604,
IEEE Computer Security Foundations Workshop,CSFW,CORE2008,A,No,,
IEEE Conference in Industrial Electronics and Applications,,ERA2010,A,No,0910,
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,CORE2023,Regional,Yes,4606,
IEEE Conference on Automation Science and Engineering,,ERA2010,B,No,0913,
"IEEE Conference on Cognitive and Computational Aspects of Situation Management ",CogSIMA,CORE2023,National:USA,Yes,4606,
IEEE Conference on Computational Complexity,CCC,CORE2023,A,Yes,4613,
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2023,A*,Yes,4603,
IEEE Conference on Decision and Control,CDC,CORE2018,A,No,1005,
IEEE Conference on Electronic Commerce Technology (merger of CEC and EEE),CEC,CORE2014,C,No,0806,
"IEEE Conference on Electronic Commerce Technology and Enterprise Computing, e_Commerce and e-Services ",CBI (was CEC/EEE),CORE2018,B,No,,
"IEEE Conference on Information, Decision and Control",IDC,CORE2018,C,No,,
IEEE Conference on Local Computer Networks,LCN,CORE2023,B,Yes,4606,
IEEE Conference on Mass Storage Systems and Technologies,MSST,CORE2023,National: USA,No,4606,
IEEE Conference on Open Architecture and Network Programming,OPENARCH,CORE2018,A,No,0805,
"IEEE Conference on Robotics, Automation and Mechatronics",,ERA2010,A,No,0913,
"IEEE Conference on Systems, Man and Cybernetics",SMC,CORE2023,B,No,4608,
IEEE Conference on Ultra Wideband Systems and Technologies,ICUWB,ERA2010,C,No,1005,
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,CORE2023,A*,Yes,4607,
IEEE Conference on Wireless Communication and Sensor Networks,WCSN,ERA2010,C,No,1005,
IEEE Congress on Evolutionary Computation,CEC,CORE2023,B,Yes,4602,
IEEE Congress on Services,SERVICES,CORE2023,B,No,4606,
IEEE Consumer Communications and Networking Conference,IEEE CCNC,CORE2023,B,No,4606,
"IEEE Dynamic Spectrum Access Networks ",DYSPAN,CORE2018,B,No,,
IEEE EMBS Neural Engineering Conference,,ERA2010,A,No,0903,
IEEE European Conference on Web Services,ECOWS,CORE2018,C,No,0806,
IEEE European Symposium on Security and Privacy,EuroS&P,CORE2023,A,Yes,4604,
IEEE European Test Symposium,ETS,CORE2023,TBR,No,CSE,
IEEE Global Information Infrastructure Symposium,GIIS,ERA2010,C,No,1005,
IEEE Global Internet Symposium,GI,CORE2023,C,No,4606,
"IEEE Global Telecommunications Conference ",GLOBECOM,CORE2023,B,No,4606,
IEEE Global Telecommunications Conference,IEEE GLOBECOM,ERA2010,B,No,1006,
IEEE Industrial Electronics Society,IECON,CORE2023,TBR,No,CSE,
IEEE Industry Applications Society Annual Conference,IAS,CORE2023,National: USA,No,4601,
"IEEE Information Theory Workshop on Detection, Estimation, Classification and Imaging",DECI,CORE2018,C,No,0802,
IEEE Information Visualization Conference,IEEE InfoVis,CORE2020,A*,No,4608,
IEEE Intell Network Workshop,IN,CORE2018,B,No,,
IEEE International Augmented Reality Toolkit Workshop,IARTW,CORE2018,C,No,0806,
IEEE International Conference and Workshop on the Engineering of Computer Based Systems,ECBS,CORE2018,B,No,1005,
IEEE International Conference on 3D Systems Integration (combines ASET & 3D),IEEE 3D IC,ERA2010,C,No,0905,
"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,CORE2023,B,No,4603,
IEEE International Conference on Adaptive and Intelligent Systems,ICAIS,CORE2018,C,No,0801,
IEEE International Conference on Advanced Learning Technologies,ICALT,CORE2023,B,Yes,4601,
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,CORE2023,B,Yes,4603,
IEEE International Conference on Automatic Face and Gesture Recognition,FG,CORE2023,B,Yes,4603,
IEEE International Conference on Automation Science and Engineering,CASE,CORE2023,TBR,No,CSE,
IEEE International Conference on Autonomic Computing,ICAC,CORE2021,B,Yes,4606,
IEEE International Conference on Big Data,BigData,CORE2023,B,Yes,4605,4602
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,CORE2023,C,Yes,4606,4612
IEEE International Conference on Cloud Computing,CLOUD,CORE2023,B,Yes,4606,
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,CORE2023,National:India,Yes,4606,4605
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,CORE2023,C,No,4606,
IEEE International Conference on Cluster Computing,CLUSTER,CORE2023,B,Yes,4606,
IEEE International Conference on Cognitive Informatics,ICCI,CORE2023,C,No,4602,
IEEE International Conference on Communications,ICC,CORE2018,B,No,1006,
IEEE International Conference on Computational Cybernetics,ICCC,CORE2018,C,No,0801,
IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,CIMSA,CORE2018,C,No,0801,
IEEE International Conference on Computer and Information Technology,CIT,CORE2023,C,No,46,
IEEE International Conference on Computer Communications,INFOCOM,CORE2023,A*,Yes,4606,
IEEE International Conference on Computer Design,ICCD,CORE2023,TBR,No,CSE,
IEEE International Conference on Computer Languages,ICCL,CORE2018,A,No,0803,
IEEE International Conference on Computer Vision,ICCV,CORE2023,A*,Yes,4603,
IEEE International Conference on Control Applications,CCA,CORE2018,B,No,1006,
IEEE International Conference on COTS-Based Software Systems,ICCBSS,CORE2018,C,No,0803,
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,CORE2023,C,No,4602,
IEEE International Conference on Data Mining,ICDM,CORE2023,A*,Yes,4605,
IEEE International Conference on Data Science and Advanced Analytics,DSAA,CORE2023,B,Yes,4605,
IEEE International Conference on Data Science and Engineering,ICDSE,CORE2023,National:India,Yes,4605,
IEEE International Conference on Digital EcoSystems and Technologies Conference,IEEE DEST,CORE2018,C,No,0806,
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,CORE2023,B,No,4606,
IEEE International Conference on Document Analysis and Recognition,ICDAR,CORE2023,A,Yes,4605,
IEEE International Conference on e-Business Engineering,ICEBE,CORE2018,B,No,0804,
IEEE International Conference on e-Science and Grid Computing,e-Science,CORE2023,B,Yes,4606,4612
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,CORE2023,C,Yes,4601,
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,CORE2023,TBR,No,CSE,
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,CORE2023,B,Yes,4612,
"IEEE International Conference on Enterprise Computing, E-Commerce and E-Services",EEE,CORE2018,C,No,0806,
IEEE International Conference on Fog and Edge Computing,ICFEC,CORE2023,C,Yes,4606,
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,CORE2023,B,Yes,4602,
IEEE International Conference on Global Software Engineering,ICGSE,CORE2023,C,Yes,4612,
IEEE International Conference on Granular Computing,GrC,CORE2018,C,No,0801,
IEEE International Conference on High Performance Computing and Communications,HPCC,CORE2023,C,Yes,4606,
IEEE International Conference on High Performance Computing and Simulation,IEEE HPCS,CORE2021,B,Yes,4606,
IEEE International Conference on Image Processing,ICIP,CORE2023,B,Yes,4603,
IEEE International Conference on Industrial and Information Systems,ICIIS,ERA2010,C,No,1005,
IEEE International Conference on Industrial Informatics,INDIN,CORE2023,TBR,No,CSE,
IEEE International Conference on Information and Automation,IEEE ICIA,CORE2021,National: China,No,4602,
IEEE International Conference on Information Reuse and Integration,IRI,CORE2023,National: USA,No,4605,
IEEE International Conference on Intelligence and Security Informatics,ISI,CORE2023,C,No,4604,
IEEE International Conference on Intelligence for Homeland Security and Personal Safety,CIHSPS,CORE2018,C,No,0801,
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,CORE2023,National: Romania,No,4602,
IEEE International Conference on Intelligent Processing Systems,IPS,CORE2018,C,No,,
IEEE International Conference on Intelligent Systems,IEEE IS,CORE2023,C,No,4602,
IEEE International Conference on Mechatronics and Automation,,ERA2010,B,No,0913,
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,CORE2023,B,No,4606,
IEEE International Conference on Multimedia and Expo,ICME,CORE2023,A,Yes,4603,
IEEE International Conference on Multimedia Computing and Systems,ICMCS,CORE2018,A,No,0806,
IEEE International Conference on Multimedia in Education,MME,CORE2018,C,No,,
IEEE International Conference on Networks,ICON,CORE2018,B,No,1006,
IEEE International Conference on Neural Networks,ICNN,CORE2018,B,No,0801,
IEEE International Conference on Parallel Processing Workshops,WoPP,CORE2018,C,No,0805,
IEEE International Conference on Peer to Peer Computing,P2P,CORE2018,C,No,0806,
IEEE International Conference on Pervasive Computing and Communications,PERCOM,CORE2023,A*,Yes,4608,
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,CORE2023,A,Yes,4612,
IEEE International Conference on Quantum Computing and Engineering,QCE,CORE2023,TBR,No,CSE,
IEEE International Conference on Radio Frequency Identification,IEEE RFID,CORE2018,B,No,1006,
IEEE International Conference on Robotics and Automation,ICRA,CORE2023,A*,Yes,4602,
IEEE International Conference on Robotics and Biomimetics,,ERA2010,B,No,0903,
IEEE International Conference on Robots and Automation,,ERA2010,A,No,0913,
"IEEE International Conference on Sensing, Communication and Networking",SECON,CORE2023,B,No,4606,
IEEE International Conference on Service-Oriented Computing and Applications,SOCA,CORE2021,C,No,4606,
IEEE International Conference on Signal Processing and Communication,ICSPC,ERA2010,C,No,1005,
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,CORE2023,A,Yes,4612,
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,CORE2023,A,Yes,4612,
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,CORE2023,B,Yes,4606,
IEEE International Conference on Telecommunications,ICT,ERA2010,C,No,1005,
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,CORE2023,C,Yes,4603,
IEEE International Conference on Web Services,ICWS,CORE2023,A,Yes,4606,
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,CORE2023,B,Yes,4606,
IEEE International Conference on Wireless Information Technology and Systems,ICWITS,CORE2018,B,No,0805,
IEEE International Dynamic Spectrum Access Networks Symposium,IEEE DYSPAN,ERA2010,B,No,1005,
IEEE International Enterprise Distributed Object Computing Conference,EDOC,CORE2023,B,Yes,4606,
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,CORE2023,C,No,4601,
IEEE International High Level Design Validation and Test Workshop,HLDVT,ERA2010,C,No,1005,
IEEE International Joint Conference on Neural Networks,IJCNN,CORE2023,B,Yes,4611,
IEEE International Multioptic Conference,INMIC,CORE2018,C,No,08,
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,CORE2023,A,Yes,4606,
IEEE International Performance Computing and Communications Conference,IPCCC,CORE2023,C,Yes,4606,
IEEE International Requirements Engineering Conference,RE,CORE2023,A,Yes,4612,
IEEE International Scientific Conference on Informatics,Informatics,CORE2023,National:Slovakia,Yes,4613,
IEEE International Solid-State Circuits Conference,ISSCC,CORE2018,A,No,,
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,CORE2023,B,Yes,4606,
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,CORE2023,C,No,4611,
IEEE International Symposium on Artificial Life,IEEE Alife,CORE2023,C,Yes,4602,
IEEE International Symposium on Biomedical Imaging,,ERA2010,A,No,0903,
IEEE International Symposium on Circuits and Systems,ISCAS,CORE2023,TBR,No,CSE,
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,CORE2023,B,Yes,4606,
IEEE International Symposium on Electronics and the Environment,,ERA2010,B,No,0910,
IEEE International Symposium on High Assurance Systems Engineering,HASE,CORE2021,B,Yes,4612,
IEEE International Symposium on Information Theory,ISIT,CORE2023,B,Yes,4613,
IEEE International Symposium on Intelligence in Neural & Biological Systems,INBS,CORE2018,B,No,,
IEEE International Symposium on Intelligent Control,ISIC,CORE2018,B,No,1005,
IEEE International Symposium on Multimedia,ISM,CORE2023,C,No,4603,
IEEE International Symposium on Network Computing and Applications,NCA,CORE2023,B,Yes,4606,
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,CORE2023,C,Yes,4606,
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,CORE2023,B,Yes,4612,
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,CORE2023,B,No,4606,
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,CORE2023,C,No,4612,
IEEE International Symposium on Real-Time Distributed Computing,ISORC,CORE2023,C,Yes,4606,
IEEE International Symposium on Security in Networks and Distributed Systems,SSNDS,CORE2018,C,No,0803,
"IEEE International Symposium on Software Metrics ",SMS,CORE2018,A,No,0803,
IEEE International Symposium on Wearable Computers,ISWC,CORE2023,Journal Published,Yes,4608,
IEEE International Symposium on Web Systems Evolution,WSE,CORE2018,C,No,0806,
IEEE International Test Conference,ITC,CORE2023,TBR,No,CSE,
IEEE International Working Conference on Mining Software Repositories,MSR,CORE2023,A,Yes,4612,
IEEE International Working Conference on Software Visualisation,VISSOFT,CORE2023,B,No,4608,
IEEE International Working Conference on Source Code Analysis and Manipulation,SCAM,CORE2023,C,Yes,4612,
IEEE International Workshop on Cellular Nanoscale Networks and Applications,CNNA,CORE2018,C,No,0801,
"IEEE International Workshop on Cluster Computing and the Grid ",IWCC,CORE2018,C,No,,
IEEE International Workshop on Databases for Next-Generation Researchers,SWOD,CORE2018,C,No,0804,
IEEE International Workshop on Future Trends of Distributed Computing Systems,FTDCS,CORE2018,C,No,0805,
IEEE International Workshop on Neural Networks for Signal Processing,NNSP,CORE2018,C,No,0801,
IEEE International Workshop on Object-Oriented Real-Time Dependable Systems,WORDS,CORE2018,B,No,1005,
IEEE International Workshop on Quality of Service,IWQoS,CORE2023,B,No,4606,
IEEE International Workshop on the Value of Security through Collaboration,SECOVAL,ERA2010,C,No,1005,
IEEE LAN/MAN Workshop,LANMAN,CORE2023,C,No,4606,
IEEE Latin-American Conference on Communications,latincom,ERA2010,C,No,1005,
IEEE Network Operations and Management Symposium,NOMS,CORE2023,B,Yes,4606,
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,CORE2023,B,Yes,4608,
IEEE Pacific-Rim Conference on Multimedia,PMIP,CORE2008,C,Yes,,
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,CORE2023,A,Yes,4606,
IEEE Region 10 Conference,Tencon,CORE2023,C,No,46,
IEEE Software Engineering Workshop,SEW,CORE2023,C,No,4612,
IEEE Swarm Intelligence Symposium,IEEE SIS,CORE2023,C,No,4602,
IEEE Symposium on 3D User Interfaces,3DUI,CORE2017,B,No,0801,
IEEE Symposium on Advanced Management of Information for Globalized Enterprises,AMIGE,CORE2018,C,No,0806,
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,CORE2023,C,No,4605,
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,CORE2023,C,No,4601,
IEEE Symposium on Computational intelligence for Image Processing,IEEE CIIP,CORE2018,C,No,0801,
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,CORE2023,C,No,4603,
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,CORE2023,C,No,4601,
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,CORE2023,C,No,4601,
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,CORE2023,C,No,4602,
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,CORE2023,C,No,4604,
IEEE Symposium on Computational Intelligence in Image and Signal Processing,CIISP,CORE2018,C,No,0801,
IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making,IEEE MCDM,CORE2018,C,No,0801,
IEEE Symposium on Computational Intelligence in Scheduling,IEEE CI-Sched,CORE2018,C,No,0801,
IEEE Symposium on Computer Arithmetic,ARITH,CORE2023,C,No,4613,
IEEE Symposium on Computers and Communications,ISCC,CORE2023,C,Yes,4606,
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,CORE2023,B,Yes,CSE,
IEEE Symposium on Foundations of Computer Science,FOCS,CORE2023,A*,Yes,4613,
IEEE Symposium on High-Performance Interconnects,HOTI,CORE2023,National: USA,No,4606,
IEEE Symposium on Intelligent Agents,IEEE IA,CORE2018,C,No,0801,
IEEE Symposium on Logic in Computer Science,LICS,CORE2023,A*,Yes,4613,
IEEE Symposium on Security and Privacy,SP,CORE2023,A*,Yes,4604,
IEEE Symposium on Visual Analytics Science and Technology,IEEE VAST,CORE2020,C,No,4608,
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,CORE2023,B,Yes,4608,
IEEE Symposium on VLSI Circuits,VLSIC,ERA2010,A,No,1005,
IEEE Systems and Information Engineering Design Symposium,SIEDS,CORE2018,C,No,08,
IEEE Systems Conference,SysCon,ERA2010,C,No,1005,
IEEE Transactions on Knowledge and Data Engineering,IEEETKDE,CORE2018,A,No,0806,
IEEE Vehicular Technology Conference,VTC,CORE2023,B,Yes,4606,
IEEE Visualization,IEEE VIS,CORE2023,A,No,4608,
IEEE VLSI Test Symposium,VTS,CORE2023,TBR,No,CSE,
IEEE Wireless Communications and Networking Conference,WCNC,CORE2023,B,No,4606,
IEEE Working Conference on Reverse Engineering,WCRE,CORE2018,B,No,0803,
IEEE Workshop on Advances in Techniques for Analysis of Remotely Sensed Data,WARDS,CORE2018,C,No,0802,
IEEE Workshop on Applications of Computer Vision,WACV,CORE2023,A,Yes,4603,
IEEE Workshop on Computational Intelligence for Visual Intelligence,IEEE CIVI,CORE2018,C,No,0801,
IEEE Workshop on Computational Intelligence in Aerospace Applications,IEEE CIAA,CORE2018,C,No,0801,
"IEEE Workshop on Computational Intelligence in Biometrics: Theory, Algorithms, and Applications",IEEE CIB,CORE2018,C,No,0801,
IEEE Workshop on Computational Intelligence in Vehicles and Vehicular Systems,IEEE CIWS,CORE2018,C,No,0801,
IEEE Workshop on Computational Intelligence in Virtual Environments,IEEE CIVE,CORE2018,C,No,0801,
IEEE Workshop on Evolvable and Adaptive Hardware,IEEE WEAH,CORE2018,C,No,0801,
IEEE Workshop on Evolving and Self-Developing Intelligent Systems,IEEE ESDIS,CORE2018,C,No,0801,
IEEE Workshop on High Performance Switching and Routing,HPSR,CORE2023,C,No,4606,
IEEE Workshop on Hot Topics in Web Systems and Technologies,HotWeb,CORE2018,B,No,0806,
IEEE Workshop on Hybrid Intelligent Models and Applications,IEEE HIMA,CORE2018,C,No,0801,
IEEE Workshop on Memetic Algorithms,IEEE WOMA,CORE2018,C,No,0801,
IEEE Workshop on Organic Computing,IEEE OC,CORE2018,C,No,0801,
IEEE Workshop on Robotic Intelligence in Informationally Structured Space,IEEE RiiSS,CORE2018,C,No,0801,
IEEE Workshop on Speech Coding,SCW,CORE2018,C,No,0801,
IEEE Workshop on Wireless Mesh Networks,WiMesh,ERA2010,C,No,1005,
IEEE World Congress on Computational Intelligence,WCCI,ERA2010,A,No,09,
IEEE WoWMoM Workshop on Hot Topics in Mesh Networking,HotMESH,ERA2010,C,No,1005,
IEEE-RAS International Conference on Humanoid Robots,Humanoids,ERA2010,C,No,0902,
